Company Name,Job Title,Job Description,Job Date,Scraping data from page
Control Risks,"Associate Analyst, East Africa","Control Risks exists to make our clients succeed. We are a specialist risk consultancy that helps to create secure, compliant and resilient organisations in an age of ever-changing risk.
Working a...","09 November, 2022",436.0
TakaTaka Solutions,Marketing Representative,"At TakaTaka Solutions, We collect your waste like every other waste collector, but, instead of taking it to a landfill, we take it to our own sites, where we sort the waste, and then recycle 95% either ourselves or through our local partners. This represents one of the highest recycling rates in the world.","09 November, 2022",437.0
Global Alliance for Improved Nutrition (GAIN),"Junior Associate, Food Systems Dashboard","The Global Alliance for Improved Nutrition (GAIN) is an international organization driven by the vision of a world without malnutrition.
OUR METHODOLOGY /
At GAIN, we believe that no one sector al...","09 November, 2022",438.0
FHI360 NGO,"Family Planning Monitoring and Evaluation, Research Specialist (Senior Technical Officer)",FHI 360 (formerly Family Health International) is a nonprofit human development organization based in North Carolina. FHI 360 serves more than 70 countries and all U.S. states and territories,"09 November, 2022",438.0
Wasoko,Business Intelligence Analyst,"Wasoko is transforming communities across Africa by revolutionizing access to essential goods and services. By connecting small shops to the digital economy, we fix inefficient supply chains and provi...","08 November, 2022",438.0
KEMRI Wellcome Trust Research Programme (KWTRP),Early Post-Doctoral Researcher – Challenge Studies,The KEMRI Wellcome Trust Research Programme (KWTRP) is based within the KEMRI Centre for Geographic Medical Research - (Coast). Our core activities are funded by the Wellcome Trust. We conduct integra...,"08 November, 2022",438.0
Aga Khan University (AKU),"Simulation Education Analyst, Centre of Innovation in Medical Education","The Aga Khan University is a private, autonomous university that promotes human welfare through research, teaching and community service initiatives. Based on the principles of quality, access, impact...","08 November, 2022",439.0
GA Insurance,Finance Manager – Reporting,GA Insurance Ltd was incorporated in 1979 after the exit of General Accident Insurance. The company has over 50 years’ experience in general insurance underwriting inherited from its parent firm...,"08 November, 2022",439.0
Safaricom Kenya,Principal Business Analyst,"Safaricom is the leading provider of converged communication solutions in Kenya. In addition to providing a broad range of first-class products and services for Telephony, Broadband Internet and Financial services, Safaricom seeks to uplift the welfare of Kenyans through value-added services and support for community projects.","08 November, 2022",440.0
International Transformation Foundation (ITF),Operations Director,International Transformation Foundation (ITF) is a youth led non-profit organization providing youth educational and self development programs encompassing leadership and entrepreneurship to harness c...,"08 November, 2022",440.0
Nairobi Securities Exchange,"Manager, Data Services & Operations","The Nairobi Securities Exchange (NSE) is a leading African Exchange, based in Kenya - one of the fastest-growing economies in Sub-Saharan Africa. Founded in 1954, NSE has a six decade heritage in list...","08 November, 2022",440.0
One Acre Fund,Global Client Data Analytics Consultant,One Acre Fund is a nonprofit organization that supplies smallholder farmers in East Africa with asset-based financing and agriculture training services to reduce hunger and poverty.,"08 November, 2022",440.0
Upfield,"Head of Marketing, East and Southern Africa","Upfield is a company selling multiple brands of margarine and other food spreads, including Flora, Blue Band, Stork, Becel, Country Crock and I C...","07 November, 2022",441.0
Bata,Financial Analyst,"With a national retailer network of over 100 ultra modern stores, stocking high quality fashion shoes for ladies, men and children; Bata Kenya is the leading footwear manufacturer and retailer in the...","07 November, 2022",441.0
Busara Center,Research Specialist - Gender,The Busara Center for Behavioral Economics is an advisory and research organization focused on evaluation and implementation of behavioral interventions in understudied countries and populations. Busa...,"07 November, 2022",442.0
I&M Bank,Officer- Credit Systems Maintenance,"I&M Bank is a wholly owned subsidiary of I&M Holdings Limited, a publicly quoted company at the Nairobi Securities Exchange (NSE). The bank possesses a rich heritage in banking.","07 November, 2022",443.0
CrossBoundary,"Analyst, Natural Capital",CrossBoundary is a mission driven investment firm committed to unlocking the power of capital to make a strong return while creating a lasting difference in frontier markets.,"07 November, 2022",443.0
United Nations Development Programme (UNDP),Disaster Risk Reduction and Mu,"The United Nations Development Programme (UNDP) is the United Nations' global development network. Headquartered in New York City, UNDP advocates for change and connects countries to knowledge, experi...","07 November, 2022",443.0
Citi,Business Analyst (OPS & Tech),"Citibank N.A. Kenya has been operating in Kenya since 1974 and has two branches in Nairobi and Mombasa, serving Corporate and Institutional clients. Citibank Kenya is the regional hub for the Citi Eas...","07 November, 2022",444.0
Glovo,Operations Manager - Content and Partners,"Glovo is a Spanish start-up founded in Barcelona in 2015. It is an on-demand courier service that purchases, picks up, and delivers products ordered through its mobile app.[1] It aspires to be a multi-category lifestyle app with food delivery being the most popular offering","05 November, 2022",444.0
Mastercard Foundation,"Lead, Financial Planning & Analysis, Programs","The Mastercard Foundation seeks a world where everyone has the opportunity to learn and prosper.
All people, no matter where their starting point in life, should have an equal chance to succeed. We believe that with access to education, financial services, and skills training, people can have that chance.","05 November, 2022",444.0
IQVIA,Clinical Research Associate,"IQVIA, formerly Quintiles and IMS Health, Inc.,is an American multinational company serving the combined industries of health information technology and clinical research. It is a provider of biopharm...","05 November, 2022",445.0
Busara Center,Analyst,The Busara Center for Behavioral Economics is an advisory and research organization focused on evaluation and implementation of behavioral interventions in understudied countries and populations. Busa...,"05 November, 2022",445.0
Flowserve Kenya,Water Market Business Development Manager - Africa,"Today's Flowserve is built on a rich and stable history of innovation. Although incorporated as a public company on the New York Stock Exchange in 1997, our heritage dates back to the founding of...","04 November, 2022",445.0
Oikocredit,Investment Officer,"Oikocredit is a social impact investor and worldwide cooperative. We have over four decades of experience in promoting sustainable development through investments. We focus our investments on financial inclusion, agriculture and renewable energy.","04 November, 2022",445.0
Kenya Revenue Authority (KRA),Manager Operations- Technology Innovation & Delivery,"The Kenya Revenue Authority (KRA) was established by an Act of Parliament, Chapter 469 of the laws of Kenya , which became effective on 1st July 1995 . The Authority is charged with the responsibility...","04 November, 2022",445.0
Village Capital,Contractor - Investment Analyst,"Village Capital finds, trains, and invests in early-stage entrepreneurs with business solutions to major global problems. We build communities around entrepreneurs that increase opportunities for grow...","04 November, 2022",445.0
SNV Netherlands Development Organisation,Analyst - Off-Grid Solar Facility,"Founded in the Netherlands in 1965, we have built a long-term, local presence in many of the poorest countries in Asia, Africa and Latin America. Our global team of local and international advisors wo...","04 November, 2022",446.0
Old Mutual Kenya,Data Analyst,"Old Mutual Kenya is based in Nairobi and is part of a larger group that offers solutions in long-term savings, asset management and investment. We offer solutions to individuals and corporates underpi...","04 November, 2022",446.0
Mastercard Foundation,"Lead, Financial Planning & Analysis, Programs","The Mastercard Foundation seeks a world where everyone has the opportunity to learn and prosper.
All people, no matter where their starting point in life, should have an equal chance to succeed. We believe that with access to education, financial services, and skills training, people can have that chance.","04 November, 2022",446.0
The International Centre for Reproductive Health,Data Analyst,The International Centre for Reproductive Health (ICRH) is a multidisciplinary research institute within Ghent University. The Centre was established in 1994 in response to the International Conferenc...,"04 November, 2022",446.0
BFA (Bankable Frontier Associates),Marketing Associate,"Founded in 2006, BFA is a global consulting firm specializing in financial services for low-income people. We partner with cutting-edge organizations that touch the lives of low-income consumers such...","04 November, 2022",446.0
Cellulant Corporation,Content Marketing Lead,"Cellulant is a digital payments business. We run an ecosystem of consumers, merchants and banks in which we facilitate payments and build value through the value-added services we layer on top. In bui...","04 November, 2022",446.0
Makini High School,Marketing and Sales Manager,"Makini Schools is a leader in the Kenyan system of education - drawing on global best practice - with five campuses in Nairobi & Kisumu, offering nursery, primary and high school education.
We are recruiting to fill the following positions below:","04 November, 2022",447.0
Human Rights Watch,"Researcher, LGBT Rights Program",Human Rights Watch is an American-founded international non-governmental organization that conducts research and advocacy on human rights.,"04 November, 2022",447.0
Johanniter International,Consultancy for the Data Visualization (POWER BI) Capacity Development of Consortium Members within the Fankisha Kukabili Janga Improving First Resp,"Johanniter International (JOIN) is a partnership of 16 national charity organisations founded by the Order of St John in Europe and the Middle East, and the 4 Orders of St John in Europe.
Member or...","03 November, 2022",447.0
Fanisi HR Solutions,Operations Lead,Fanisi is a HR consulting and management company that guides enterprises in setting up management and development of their workforce. We support Small and Medium Enterprises to excel in improving the...,"03 November, 2022",448.0
ICEA Lion Group,"Deputy Manager, Risk and Compliance","As one of the largest insurers and financial services companies in East Africa, we have decades of experience in helping discerning individuals protect and create their wealth. But that’s not al...","03 November, 2022",448.0
SBM Bank,Senior Corporate/Retail Credit Analyst – Credit Underwriting Team,"SBM, a growing international financial institution in Africa, provides a wide range of corporate and commercial banking solutions to its clients. Kenya will operate as a gateway to Africa for SBM. SBM...","03 November, 2022",448.0
Fanisi HR Solutions,Operations Officer,Fanisi is a HR consulting and management company that guides enterprises in setting up management and development of their workforce. We support Small and Medium Enterprises to excel in improving the...,"03 November, 2022",448.0
DanChurchAid (DCA),Financial Inclusion Intern - Kakuma,"DanChurchAid's aim is to strengthen the world’s poorest people in their struggle for a life in dignity.
Our work is based on a Christian view of humanity with respect for every individual&rsquo...","03 November, 2022",449.0
Absa Bank Limited,Data Scientist,"Absa Bank Limited (Absa) is a wholly owned subsidiary of Barclays Africa Group Limited. Absa offers personal and business banking, credit cards, corporate and investment banking, wealth and investment management as well as bancassurance.","03 November, 2022",450.0
Maersk Line,Tax Operations Supervisor,"Maersk Line is the world’s largest container shipping company, known for reliable, flexible and eco-efficient services. We operate 610 container vessels and provide ocean transportation in all p...","02 November, 2022",451.0
GardaWorld,IT Business Analyst / Project Manager,"GardaWorld International Protective Services is the international security division of GardaWorld Security Corporation, the world's largest privately owned security company. Our services include stati...","02 November, 2022",451.0
Q-Sourcing Servtec Group,QSSK-DGM-DE-Data Engineer,Q-Sourcing Servtec Group is a global management consulting firm that helps people make significant improvements to their business performance and realize their most important career goals.,"02 November, 2022",451.0
CIC Insurance,ICT Business Analyst General Business,"CIC Insurance Group Limited, commonly referred to as CIC Group, is an insurance and investment group that operates mainly in Kenya, Uganda, South Sudan and Malawi","02 November, 2022",451.0
Greenspoon Kenya,Operations Intern,"Greenspoon Kenya is the online store for people who care about what they eat. Founded in September 2016, Greenspoon was born of a desire to support artisan producers in Kenya, and at the same time pro...","02 November, 2022",451.0
SoCha,Data Quality Assessment (DQA) Specialist Kenya,"SoCha (a portmanteau of Social and Change) is an independent Monitoring, Evaluation and Learning (ME&L) firm that provides bespoke solutions to social challenges. Since our inception in 2010, we have grown from a consortium of globally-recognized experts who specialize in evaluating the effectiveness of development assistance, to a full-fledged ME&L services firm that specializes in advancing innovative methodologies and changing the way donors find solutions to social problems.","02 November, 2022",452.0
Jubilee Insurance,Data Protection Officer (Re-advertised),"Jubilee Insurance was established in August 1937, as the first locally incorporated Insurance Company based in Mombasa in 1937. Jubilee Insurance has spread its sphere of influence throughout the regi...","02 November, 2022",452.0
ABC Bank (African Banking Corporation Limited),Credit Analyst – SME Banking,ABC Bank is an indigenous Kenya bank with 33 years experience using the power of finance to support businesses and projects that benefit the people and the planet. We know that banking can be a powerf...,"01 November, 2022",454.0
The Cocoa Collection - Africa Hotels,Marketing Executive,"A Warm Welcome...
from the Cocoá Collection Hotels Group. With an amazing and upcoming lineup of Hotels, we offer you the incredible but affordable locations. We currently have hotels in Kenya...","01 November, 2022",454.0
OmniBiz Africa,Logistics Professional-Market Place,"We Are
Omnibiz
Omnibiz provides a unified B2B distribution platform powered by technology.
Our solution is a growth engine
By bringing key stakeholder on a single platform, Omnibiz eliminates st...","01 November, 2022",454.0
GeoPoll,Data Processing Manager,"GeoPoll is a leading research organization that uses mobile phones to gather direct, real-time insights from millions of people throughout Africa, Asia, and Latin America.","01 November, 2022",454.0
Kenya Medical Research - KEMRI,Research Assistant,"Kenya Medical Research Institute (KEMRI) is a State Corporation established through the Science and Technology (Amendment) Act of 1979, which has since been amended to Science, Technology and Innovati...","01 November, 2022",454.0
DanChurchAid (DCA),Operations Assistant,"DanChurchAid's aim is to strengthen the world’s poorest people in their struggle for a life in dignity.
Our work is based on a Christian view of humanity with respect for every individual&rsquo...","01 November, 2022",454.0
Catholic Medical Mission Board’s (CMMB),Research Assistants,"We are an international, faith-based NGO providing long-term, co-operative, medical and development aid to communities affected by poverty and unequal access to healthcare.
For over a century, we h...","01 November, 2022",455.0
I&M Bank,Assistant Manager- Treasury Operations,"I&M Bank is a wholly owned subsidiary of I&M Holdings Limited, a publicly quoted company at the Nairobi Securities Exchange (NSE). The bank possesses a rich heritage in banking.","01 November, 2022",455.0
Mercy Corps,Database & MIS Coordinator,"Mercy Corps is a global humanitarian aid agency engaged in transitional environments that have experienced some sort of shock: natural disaster, economic collapse, or conflict.","31 October, 2022",456.0
Standard Chartered Bank Kenya,"Principal, Treasury Markets","Standard Chartered Kenya, whose official name is Standard Chartered Bank Kenya Limited, but is sometimes referred to as Stanchart Kenya, is a commercial bank in Kenya.","31 October, 2022",456.0
Equity Bank Kenya,Senior Manager- Group Traded & Country Risk,"Equity Bank Limited (The ""Bank”) is incorporated, registered under the Kenyan Companies Act Cap 486 and domiciled in Kenya. The address of the Bank’s registered office is 9th Floor, Equit...","31 October, 2022",456.0
Stanbic Bank,Manager Non-Financial Risk (NFR),"Stanbic Bank is a division of Standard Bank, a member of the Standard Bank Group, based in Johannesburg, South Africa. Stanbic Bank was adopted as a trading name in 1992, when the Standard Bank Group,...","31 October, 2022",456.0
Watu Credit Limited,Data Analyst,"Watu Credit Limited is a dynamic and fast-growing non-bank finance company. Watu Credit Limited harnesses technology to offer unsecured lending, primarily via mobile services. We aim to become the leading African provider of a broad set of inclusive financial products, delivered through technology in a fast, efficient and professional manner.","31 October, 2022",457.0
Kianda Foundation,Marketing and Communications Intern,"Non-profit Organization Management 11-50 employees 17 on LinkedIn
We are a nonprofit educational Trust that has been in existence for 60 years now.
Our mission is to provide quality and personal...","31 October, 2022",458.0
WTS Energy,Supply Chain and Operations Manager,"WTS Energy, headquartered in the Netherlands and established in 2000, is one of the leading Outsourcing & Workforce Management Companies to the Global Energy industry. WTS Supplies Manpower, Recru...","31 October, 2022",459.0
Sightsavers,Project Manager- Inclusive Data,Sightsavers is an international organisation that changes lives for the long term. We work in more than 30 countries to eliminate avoidable blindness and support people with visual impairments to live...,"29 October, 2022",459.0
International Rice Research Institute,Scientist II - Gender and Social Inclusion Research,"Our Mission
IRRI is dedicated to abolishing poverty and hunger among people and populations that depend on rice-based agri-food systems. Through our work and partnerships, we aim to improve the healt...","29 October, 2022",459.0
Concern Worldwide,Field Operations Coordinator,We are an international humanitarian organisation dedicated to tackling poverty and suffering in the world’s poorest countries. Concern Worldwide began working in Kenya in May 2002 with the deve...,"28 October, 2022",461.0
Verde Edge Consulting Ltd,Sales & operations Administrator,Verde Edge Consulting Ltd is a new age executive HR consulting company based in Nairobi Kenya with operations running throughout the republic and the greater East Africa region. We are dedicated to re...,"28 October, 2022",462.0
Anjarwalla & Khanna,"Deputy Manager, Digital Marketing & Communications","Anjarwalla & Khanna (A&K) is the largest corporate law firm in Eastern Africa, with over 90 lawyers, and is generally considered the leading full-service corporate law firm in Kenya.
Our clie...","28 October, 2022",462.0
International Livestock Research Institute (ILRI),Research Management-Monitoring Coordinator,The International Livestock Research Institute (ILRI) works to improve food security and reduce poverty in developing countries through research for better and more sustainable use of livestock. ILRI...,"28 October, 2022",462.0
World Bank Group,Resource Management Analyst,The World Bank Group (WBG) is a family of five international organizations that make leveraged loans to developing countries. It is the largest and most famous development bank in the world and is an...,"28 October, 2022",462.0
Ijenga,Financial Analyst,"iJenga is a Nairobi based real estate developer and financier focused on medium to large real estate developments in primary & secondary cities in East Africa.
We were formed in 2012 as a limited...","28 October, 2022",462.0
iHuman Resource Consulting Ltd (iHR),Technical Sales and Marketing Representative,iHuman Resource Consulting Ltd (iHR) is a limited liability company that incorporated as a limited company in 2014 to provide Human Resources Consultancy Services to the private and public sector institutions.,"28 October, 2022",462.0
UN Women,Consultancy: Project Monitoring and Reporting Advisor – LEAP Japan COVID 19 project,"In July 2010, the United Nations General Assembly created UN Women, the United Nations Entity for Gender Equality and the Empowerment of Women. In doing so, UN Member States took an historic step in a...","27 October, 2022",463.0
Wasoko,Finance Analyst Trainees,"Wasoko is transforming communities across Africa by revolutionizing access to essential goods and services. By connecting small shops to the digital economy, we fix inefficient supply chains and provi...","27 October, 2022",463.0
Tony Blair Institute for Global Change,Health Data Security and Governance Advisor,"The Tony Blair Institute for Global Change supports political leaders and governments to build open, inclusive and prosperous societies in a globalised world. We do this through developing policy and advising governments.","27 October, 2022",463.0
One Acre Fund,Global Impact Ventures Analyst,One Acre Fund is a nonprofit organization that supplies smallholder farmers in East Africa with asset-based financing and agriculture training services to reduce hunger and poverty.,"27 October, 2022",464.0
Baus Optical Company Limited,Assistant Marketing Executive,Baus optical limited is a locally registered Kenyan company specializing in retailing and dispensing of quality optical products and services since 2003,"27 October, 2022",464.0
GA Insurance,Business Analyst – Executive Office,GA Insurance Ltd was incorporated in 1979 after the exit of General Accident Insurance. The company has over 50 years’ experience in general insurance underwriting inherited from its parent firm...,"27 October, 2022",464.0
PATH,"Senior Program Assistant – Business, Finance and Operations Management","PATH is an international organization that drives transformative innovation to save lives and improve health, especially among women and children. We accelerate innovation across five platforms-vaccin...","27 October, 2022",464.0
mPharma,Retail Operations Assistant Manager,"mPharma's mission is to increase patient access to high quality medications. Through our drug benefits service, we offer a number of solutions to health insurance companies and pharmaceutical companie...","27 October, 2022",464.0
International Maize and Wheat Improvement Center (CIMMYT),Research Associate – Cereal Seed Systems,"The International Maize and Wheat Improvement Center, known by its Spanish acronym, CIMMYTÂ®, is a not-for-profit research and training organization with partners in over 100 countries. Plea...","27 October, 2022",464.0
Koko Networks,Senior Data Engineer,"This company was formerly known as SmartCook Energy. Last-mile energy networks for Africa's cities. Smarter commerce for urban Africa.
Unique rich media delivery platforms.
Our mission is to im...","27 October, 2022",464.0
Africa Management Solutions Limited (AMSOL),Research Supervisor,Africa Management Solutions Limited (AMSOL) is the fastest growing Human Resources and Management consulting firm that offers an array of hr solutions tailored to accurately address all the human reso...,"27 October, 2022",465.0
Lami,Financial Controller,We are transforming and democratizing insurance with our powerful platform solution. Our technology allows you to easily integrate any type of coverage into your enterprise.,"27 October, 2022",465.0
Integrated Staffing and Training Limited,Sales and Marketing Intern,"Integrated Staffing and Training Limited was formed in response to demands for a more flexible, cost effective and tailored recruitment services. The company seeks to bridge the gap between employers and job seekers in various industries.","27 October, 2022",465.0
One Acre Fund,Kenya Digital Marketing Specialist,One Acre Fund is a nonprofit organization that supplies smallholder farmers in East Africa with asset-based financing and agriculture training services to reduce hunger and poverty.,"27 October, 2022",465.0
Safaricom Kenya,Treasury & M-PESA Operations Specialist,"Safaricom is the leading provider of converged communication solutions in Kenya. In addition to providing a broad range of first-class products and services for Telephony, Broadband Internet and Financial services, Safaricom seeks to uplift the welfare of Kenyans through value-added services and support for community projects.","27 October, 2022",465.0
Millar Cameron,Chief Financial Officer (Digital Infrastructure)),"MIllar Cameron is a leading recruitment consultancy who provide recruitment talent solutions to the Food Value Chain, Agricultural, Logistics, Real Estate and Finance sectors in developing geographies with a particular emphasis on Africa. Headquartered in Oxford with an office in London, our team of consultants and researchers source personnel for projects and operations.","27 October, 2022",465.0
Koko Networks,"Manager, Market Research","This company was formerly known as SmartCook Energy. Last-mile energy networks for Africa's cities. Smarter commerce for urban Africa.
Unique rich media delivery platforms.
Our mission is to im...","26 October, 2022",466.0
BFA (Bankable Frontier Associates),"Investment Principal, Africa","Founded in 2006, BFA is a global consulting firm specializing in financial services for low-income people. We partner with cutting-edge organizations that touch the lives of low-income consumers such...","26 October, 2022",466.0
Conservation International,Deputy Director of Enterprise Risk Management,"Conservation International is an American nonprofit environmental organization headquartered in Arlington, Virginia. Its goal is to protect nature as a source of food, fresh water, livelihoods and a s...","26 October, 2022",466.0
AAA Growers,Financial Controller,AAA Growers is one of the leading exporters of premium & prepared vegetables from Kenya and the largest commercial grower and exporter of chillies from Kenya. We aim to provide quality products wh...,"26 October, 2022",466.0
Diageo,Project Assistant - Warehouse Operations,"Diageo is the world’s leading premium drinks company, a business built on the principles and foundations laid by the giants of our industry.","26 October, 2022",466.0
Co-operative Bank of Kenya,Enterprise Business Analyst,The Co-operative Bank of Kenya Limited is incorporated in Kenya under the Company Act and is also licensed to do the business of banking under the Banking Act. The Bank was initially registered under...,"26 October, 2022",467.0
Namati,Senior Operations Officer,"Namati is dedicated to placing the power of law in the hands of people. For billions of people around the world, the law is broken. It’s an abstraction -- or worse, a threat -- but not...","26 October, 2022",467.0
BasiGo,Marketing & Communications Lead,BasiGo is an e-mobility start-up looking to revolutionize the public transportation sector by providing public transport bus owners with a cost-effective electric alternative to diesel. Headquartered...,"26 October, 2022",467.0
"DAI Kenya - Development Alternatives, Inc.",Operations Director,DAI is a global development company working on the frontlines of international development consulting. We are committed to shaping a more livable world. We tackle fundamental social and economic devel...,"26 October, 2022",467.0
DHL,Global HR Data Management Specialist,"Our Vision, Our Mission, Our Strategy
Our vision is to be The Logistics Company for the World.
Our mission - Excellence. Simply Delivered. - is our guiding light.
Our Strategy 2020: Focus.Connect.G...","26 October, 2022",468.0
Catholic Relief,"Technical Advisor III – Value Chains, Market systems and Private Sector Engagement",Catholic Relief Services (CRS) is an international non-governmental organization supporting relief and development work in over 99 countries around the world. CRS programs assist persons on the basis...,"25 October, 2022",469.0
Global Alliance for Improved Nutrition (GAIN),Executive Director Office (EDO) Analyst,"The Global Alliance for Improved Nutrition (GAIN) is an international organization driven by the vision of a world without malnutrition.
OUR METHODOLOGY /
At GAIN, we believe that no one sector al...","25 October, 2022",469.0
International Livestock Research Institute (ILRI),Research Officer I – Gender,The International Livestock Research Institute (ILRI) works to improve food security and reduce poverty in developing countries through research for better and more sustainable use of livestock. ILRI...,"25 October, 2022",470.0
GOODINFO,Talent Operations Contractor,"GOODINFO is a technology-focused management consulting firm. We help our customers turn great, tech-based ideas into products and services their customers will love.","25 October, 2022",470.0
Winnies Pure Health Products,Marketing Intern,Kenya's leading healthy food products provider! Our products are naturally nutritious and chemical free!,"25 October, 2022",470.0
Samuel Hall,Research Assistant,Samuel Hall is an independent think tank specialised in field research and social impact. We strive to provide practicable insights to challenging issues in the developing world by providing academic-...,"25 October, 2022",470.0
Co-operative Bank of Kenya,Enterprise Business Analyst,"The Co-operative Bank of Kenya Limited is incorporated in Kenya under the Company Act and is also licensed to do the business of banking under the Banking Act.
The Bank was initially registered und...","25 October, 2022",471.0
Federation Of Kenya Employers,Marketing & Membership Services Intern,"The Federation of Kenya Employers (FKE) is the voice of employers in Kenya and the umbrella body that brings together enterprises from all sectors of the economy.
The Federation’s mandate is to...","25 October, 2022",471.0
Old Mutual Kenya,Group Risk and Compliance,"Old Mutual Kenya is based in Nairobi and is part of a larger group that offers solutions in long-term savings, asset management and investment. We offer solutions to individuals and corporates underpi...","25 October, 2022",471.0
Upfield,Financial Controller,"Upfield is a company selling multiple brands of margarine and other food spreads, including Flora, Blue Band, Stork, Becel, Country Crock and I C...","25 October, 2022",471.0
Visa,Visa Consulting & Analytics Manager,"Visa is a global payments technology company that connects consumers, businesses, banks and governments in more than 200 countries and territories, enabling them to use digital currency instead of cas...","25 October, 2022",471.0
Conservation International,Investment Director,"Conservation International is an American nonprofit environmental organization headquartered in Arlington, Virginia. Its goal is to protect nature as a source of food, fresh water, livelihoods and a s...","25 October, 2022",472.0
Lami,Business Analyst,We are transforming and democratizing insurance with our powerful platform solution. Our technology allows you to easily integrate any type of coverage into your enterprise.,"24 October, 2022",472.0
Cartrack,Credit Controller,"Cartrack is a leading global provider of fleet management solutions with a focus on technology development to increase productivity. Cartrack already has an extensive footprint in Africa, Europe, Asi...","24 October, 2022",472.0
M-Kopa Solar,Sales Operations Manager,"M-KOPA’s mission is to make high quality energy affordable to everyone. OUR GROWTH SO FAR... M-KOPA has connected more than 400,000 homes in Kenya,Tanzania and Uganda to solar power with over 550 new homes being added every day.","24 October, 2022",472.0
International Rescue Committee,Research Coordinator,"The International Rescue Committee is a global humanitarian aid, relief and development nongovernmental organization.","24 October, 2022",474.0
"Aga Khan Hospital, Mombasa",Marketing and Communications Officer,"Aga Khan Hospital, Mombasa is an ISO 9001:2008 certified secondary care hospital providing 24-hour inpatient and emergency services in the Coast Region of Kenya. The hospital offers a range of quality...","24 October, 2022",474.0
Bioversity International,"IT Security Analyst, Technology Integration","Who we are
Our vision and mission, history, and staff profiles.
Where we work
Find out where Bioversity International carries out its research
The Alliance of Bioversity International and CIAT...","24 October, 2022",474.0
Thompson Rivers University,TRU's Marketing Services Representative: Africa (Based in Kenya),"Thompson Rivers University is a unique combination of traditional undergraduate and graduate degree programs, many allowing diploma and certificate program holders access through laddering, along with...","24 October, 2022",474.0
Sidian Bank,"Manager, Operations Excellence and Quality Assurance","At Sidian Bank, we recognize the significant accountability and inherent risks that an entrepreneur takes to make his ideas and dreams a reality.
It is for this reason that our mission is to empower entrepreneurs to create wealth through provision of transformational financial solutions that meet entrepreneurs needs and facilitate growth through convenience and choice.","21 October, 2022",478.0
"DAI Kenya - Development Alternatives, Inc.",Food Security and Resilience (FSR) Environmental and Social Risk Management Specialist,DAI is a global development company working on the frontlines of international development consulting. We are committed to shaping a more livable world. We tackle fundamental social and economic devel...,"21 October, 2022",478.0
"DAI Kenya - Development Alternatives, Inc.","Food Security and Resilience (FSR) Environment Associate , USAID Africa Trade and Investment (ATI) program",DAI is a global development company working on the frontlines of international development consulting. We are committed to shaping a more livable world. We tackle fundamental social and economic devel...,"20 October, 2022",479.0
SC Johnson,"Associate Manager, Operations Cost Accounting","We've been making trusted household brands for more than a century. From the products we create to the planet we share, we're working toward a cleaner, healthier, better home for families everywhere...","20 October, 2022",479.0
Palladium International,"Technical Advisor, Information Security, Data.FI","Palladium develops and delivers solutions that create positive impact for communities, businesses, societies and economies. We transform lives and create enduring value by working with governments, co...","20 October, 2022",479.0
Triggerise,Marketing and Communications Manager,"Triggerise is a non-profit that motivates users – primarily young women and adolescent girls – to make positive choices. We use nudges like reminders, discounts, in person and digital foll...","20 October, 2022",479.0
Louis Dreyfus Company,Marketing Officer,"Louis Dreyfus Company is a leading merchant and processor of agricultural goods. Our activities across a diversified range of business lines span the entire value chain, from origination to distribution, helping to feed and clothe up to 500 million people every year.","20 October, 2022",479.0
SunCulture Kenya Ltd,Financial Analyst Intern,"Since the sale of our first kit in 2013, SunCulture has been on a mission to help smallholder farmers in Africa improve both crop yields and quality. We are driven to constantly innovate and improve o...","20 October, 2022",479.0
GSM Association (GSMA),"Market Engagement Manager, M4D Agritech","The GSMA represents the interests of mobile operators worldwide, uniting nearly 800 operators with almost 300 companies in the broader mobile ecosystem, including handset and device makers, software c...","20 October, 2022",480.0
Digital Divide Data (DDD Kenya),Financial Analysts Associates,"DDD believes talent has no boundaries--and opportunities shouldn’t either. In 2001, we saw the need to bring tech skills and living-wage work to men and women in underserved communities in Asia. It was here that DDD helped plant the seed for a socially responsible outsourcing practice known as impact sourcing.","19 October, 2022",481.0
Flare Emergency Response,Analytics Engineer,"Flare was born from the recognized need of private and public providers to better serve their consituencies. In areas underserved by public emergency infastructure, Flare tools help you provide the best care most efficiently.","19 October, 2022",481.0
Aza Finance,Account Analyst,AZA is an established provider of currency trading solutions which accelerate global access to frontier markets through an innovative infrastructure. By leveraging cutting edge technology in our flags...,"19 October, 2022",481.0
Apollo Agriculture,Strategic Analytics Lead,"Apollo helps farmers in emerging markets increase their profits. We use agronomic machine learning, remote sensing, and mobile technology to help farmers access credit, high-quality farm inputs, and c...","19 October, 2022",482.0
Church World Service,Call Center Quality and Process Analyst - Kenya National Hire,"Church World Service (CWS) was founded in 1946 and is a cooperative ministry of 37 Christian denominations and communions, providing sustainable self-help, development, disaster relief, and refugee as...","19 October, 2022",482.0
I&M Bank,"Officer, Credit Monitoring & Reporting","I&M Bank is a wholly owned subsidiary of I&M Holdings Limited, a publicly quoted company at the Nairobi Securities Exchange (NSE). The bank possesses a rich heritage in banking.","19 October, 2022",483.0
